date,Woden Valley,Weston Creek,Tuggeranong,South Canberra,North Canberra,Molonglo,Gungahlin,Belconnen
11/08/2021,0,0,0,0,0,0,0,0
12/08/2021,0,0,0,0,3,0,3,0
13/08/2021,0,0,0,0,0,0,0,0
14/08/2021,0,1,0,0,0,0,1,1
15/08/2021,1,0,1,0,6,1,4,1
16/08/2021,1,0,1,2,4,0,3,7
17/08/2021,0,0,1,0,10,0,7,3
18/08/2021,0,0,2,0,6,1,1,4
19/08/2021,2,1,0,0,5,1,0,6
20/08/2021,0,0,0,2,1,2,2,6
21/08/2021,0,1,0,0,3,1,9,3
22/08/2021,2,0,3,0,3,1,4,3
23/08/2021,0,2,6,1,5,1,10,5
24/08/2021,0,0,0,0,0,0,5,4
25/08/2021,0,0,1,0,3,0,2,8
26/08/2021,1,0,1,1,6,8,10,4
27/08/2021,0,0,2,0,2,0,7,5
28/08/2021,0,0,0,0,3,0,7,2
29/08/2021,0,0,3,0,7,0,2,0
30/08/2021,3,1,0,0,6,0,3,1
31/08/2021,1,0,3,0,4,1,12,1
1/09/2021,2,0,1,0,2,2,4,1
2/09/2021,2,0,0,1,6,1,1,7
3/09/2021,3,1,7,0,10,0,8,6
4/09/2021,1,1,4,1,1,1,4,1
5/09/2021,0,0,1,0,1,1,4,1
6/09/2021,1,0,2,0,5,2,4,4
7/09/2021,0,0,2,0,6,0,9,7
8/09/2021,2,0,0,0,2,0,1,6
9/09/2021,0,0,3,1,2,0,10,8
10/09/2021,1,0,3,0,0,0,2,9
11/09/2021,0,0,7,0,5,0,5,1
12/09/2021,2,0,1,0,7,0,4,1
13/09/2021,2,0,0,0,5,0,8,3
14/09/2021,0,0,1,0,2,0,5,4
15/09/2021,0,0,3,1,1,0,5,4
16/09/2021,0,0,8,2,5,1,9,5
17/09/2021,1,0,4,1,4,0,2,5
18/09/2021,1,1,5,0,1,5,2,1
19/09/2021,0,0,1,0,1,0,1,3
20/09/2021,0,1,11,0,4,0,2,2
21/09/2021,1,0,3,0,2,0,3,5
22/09/2021,0,2,5,0,4,0,0,3
23/09/2021,2,0,6,0,1,1,5,3
24/09/2021,1,4,6,0,2,1,6,12
25/09/2021,1,2,3,6,2,1,7,3
26/09/2021,0,2,1,2,2,0,3,10
27/09/2021,0,4,1,0,5,0,1,0
28/09/2021,0,3,6,2,3,1,2,9
29/09/2021,2,1,11,1,3,0,3,8
30/09/2021,0,0,14,5,5,2,3,16
1/10/2021,4,3,9,8,5,1,6,14
2/10/2021,3,0,12,2,6,0,3,11
3/10/2021,0,1,8,0,5,2,4,8
4/10/2021,8,1,9,2,0,4,6,5
5/10/2021,0,0,8,1,6,0,5,5
6/10/2021,4,1,12,3,2,0,11,12
7/10/2021,0,1,16,2,6,0,9,2
8/10/2021,2,0,7,1,3,0,5,8
9/10/2021,2,2,12,0,0,0,8,4
10/10/2021,1,0,6,2,1,0,14,8
11/10/2021,4,0,13,0,2,0,4,3
12/10/2021,2,2,16,2,7,0,14,7
13/10/2021,4,2,15,0,1,1,12,14
14/10/2021,4,2,1,3,3,2,9,9
15/10/2021,2,0,8,0,1,0,3,3
16/10/2021,0,3,9,1,2,1,15,2
17/10/2021,1,0,3,2,5,1,3,2
18/10/2021,0,1,8,1,2,1,8,3
19/10/2021,0,5,6,1,4,0,2,2
20/10/2021,0,5,2,2,6,0,9,3
21/10/2021,0,0,5,1,0,1,5,0
